Film,Year,Rotten Tomatoes' Top 100
The Godfather,1972,17
Citizen Kane,1941,2
Casablanca,1942,8
"The Godfather, Part II",1974,99
Singin' in the Rain,1952,52
Psycho,1960,88
Rear Window,1954,47
Apocalypse Now,1979,Unranked
2001: A Space Odyssey,1968,Unranked
Seven Samurai,1954,49
Vertigo,1958,Unranked
Sunset Blvd,1950,21
Modern Times,1936,4
Lawrence of Arabia,1962,Unranked
North by Northwest,1959,79
Star Wars,1977,Unranked
Parasite,2019,6
Schindler's List,1993,Unranked
Lord of the Rings: The Fellowship of the Ring,2001,Unranked
Shawshank Redemption,1994,Unranked
It's a Wonderful Life,1946,Unranked
Pulp Fiction,1994,Unranked
Avengers: Endgame,2019,7
City Lights,1931,Unranked
One Flew Over the Cuckoo's Nest,1975,Unranked
